Groups:
r_adc_data_v[11:0] =, r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], ,
r_adc_data_i[11:0] =, r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], ,

Data:
time unit: us, r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0],
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
91, 1175, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1443, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1,
92, 1232, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1483, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1,
93, 1289, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1516, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0,
94, 1343, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1542, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0,
95, 1396, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1559, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1,
96, 1445, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1569, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1,
97, 1489, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1568, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0,
98, 1525, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1558, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0,
99, 1555, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1542, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0,
100, 1574, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1516, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0,
101, 1588, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1481, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1,
102, 1593, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1440, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0,
103, 1587, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1395, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1,
104, 1571, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1343, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1,
105, 1551, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1290, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0,
106, 1520, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1233, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1,
107, 1481, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1175, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1,
108, 1438, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1120, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0,
109, 1389, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1068, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0,
110, 1336, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1018, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0,
111, 1281, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 974, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0,
112, 1224, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 935, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1,
113, 1169, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 902, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0,
114, 1113, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 878, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0,
115, 1061, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 861, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1,
116, 1015, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 852, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0,
117, 973, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 854, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0,
118, 937, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 863, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1,
119, 910, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 881, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1,
120, 890, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 907, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1,
121, 876, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 938, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0,
122, 872, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 978, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0,
123, 876, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1023, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
124, 891, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1074, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0,
125, 914, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1126, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0,
126, 943, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1182, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0,
127, 978, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1237, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1,
128, 1020, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1294, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0,
129, 1068, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1347, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1,
