Groups:
r_adc_data_v[11:0] =, r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], ,
r_adc_data_i[11:0] =, r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], ,

Data:
time unit: us, r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], v_square, i_square,
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
14055, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14056, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14057, 1335, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14058, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14059, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14060, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14061, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14062, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14063, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14064, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14065, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14066, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14067, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14068, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14069, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14070, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14071, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14072, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14073, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14074, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14075, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14076, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14077, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14078, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14079, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14080, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14081, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14082, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14083, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14084, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14085, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14086, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14087, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14088, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14089, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14090, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14091, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14092, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14093, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14094, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14095, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14096, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14097, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14098, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14099, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14100, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14101, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14102, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14103, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14104, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14105, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14106, 1333, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1464, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1,
14107, 1309, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1475, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1,
